year,season,country,city
1896,Summer,Greece,Athens
1900,Summer,France,Paris
1904,Summer,USA,St. Louis
1908,Summer,UK,London
1912,Summer,Sweden,Stockholm
1920,Summer,Belgium,Antwerp
1924,Summer,France,Paris
1924,Winter,France,Chamonix
1928,Summer,Netherlands,Amsterdam
1928,Winter,Switzerland,St. Moritz
1932,Summer,USA,Los Angeles
1932,Winter,USA,Lake Placid
1936,Summer,Germany,Berlin
1936,Winter,Germany,Garmisch-Partenkirchen
1948,Summer,UK,London
1948,Winter,Switzerland,St. Moritz
1952,Summer,Finland,Helsinki
1952,Winter,Norway,Oslo
1956,Summer,Australia,Melbourne
1956,Winter,Italy,Cortina d'Ampezzo
1960,Summer,Italy,Rome
1960,Winter,USA,Squaw Valley
1964,Summer,Japan,Tokyo
1964,Winter,Austria,Innsbruck
1968,Summer,Mexico,Mexico City
1968,Winter,France,Grenoble
1972,Summer,Germany,Munich
1972,Winter,Japan,Sapporo
1976,Summer,Canada,Montreal
1976,Winter,Austria,Innsbruck
1980,Summer,USSR,Moscow
1980,Winter,USA,Lake Placid
1984,Summer,USA,Los Angeles
1984,Winter,Yugoslavia,Sarajevo
1988,Summer,South Korea,Seoul
1988,Winter,Canada,Calgary
1992,Summer,Spain,Barcelona
1992,Winter,France,Albertville
1994,Winter,Norway,Lillehammer
1996,Summer,USA,Atlanta
1998,Winter,Japan,Nagano
2000,Summer,Australia,Sydney
2002,Winter,USA,Salt Lake City
2004,Summer,Greece,Athens
2006,Winter,Italy,Turin
2008,Summer,China,Beijing
2010,Winter,Canada,Vancouver
2012,Summer,UK,London
2014,Winter,Russia,Sochi
2016,Summer,Brazil,Rio de Janeiro
2018,Winter,South Korea,Pyeongchang
2020,Summer,Japan,Tokyo
2022,Winter,China,Beijing
2024,Summer,France,Paris
2026,Winter,Italy,Milan-Cortina
